Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
Bien, tu es là  ?;Oui.;;00:01:00:00;;;;
;Non.;;;;;;
;;;;;;;
Je vais te faire une première demande.;;;;;;;
;;;;;;;
Je t'avouerais que c'est plus un caprice que quelque chose qui m'aidera réellement.;;;;;;;
;;;;;;;
Mais ça me permettra de te ''tester''.;Et c'est quoi ta demande ?;;;;;;
;Tester quoi?;Ça n'aurait pas de sens de te le dire.;;;;;
;;;;;;;
Et bien, c'est simple.;;;;;;;
;;;;;;;
Quoique, pas tant que ça.;;;;;;;
;;;;;;;
Il y'a cet homme, un responsable important dans une entreprise non moins importante.;;;;;;;
;;;;;;;
Je sais de source s�re qu'il est coupable d'harcèlement moral et sexuel.;;;;;;;
;;;;;;;
Avec ton aide, je compte ruiner sa vie.;C'est pas un peu extrême??;;;;<BRANCH>PreMj1-1a;;
;Tu as des preuves de ce que tu l'accuses de faire ?!;;;;<BRANCH>PreMj1-2;;
